Rank,flag,Country,Gold,Silver,Bronze,Total
51, //upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/44px-Flag_of_Greece.svg.png,Greece,1,1,6,8
52, //upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/44px-Flag_of_Argentina.svg.png,Argentina,1,1,1,3
52, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/44px-Flag_of_Egypt.svg.png,Egypt,1,1,1,3
52, //upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/44px-Flag_of_Tunisia.svg.png,Tunisia,1,1,1,3
55, //upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/44px-Flag_of_Botswana.svg.png,Botswana,1,1,0,2
55, //upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/44px-Flag_of_Chile.svg.png,Chile,1,1,0,2
55, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Saint_Lucia.svg/44px-Flag_of_Saint_Lucia.svg.png,Saint Lucia,1,1,0,2
55, //upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Uganda.svg/44px-Flag_of_Uganda.svg.png,Uganda,1,1,0,2
59, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/44px-Flag_of_the_Dominican_Republic.svg.png,Dominican Republic,1,0,2,3
60, //upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/44px-Flag_of_Guatemala.svg.png,Guatemala,1,0,1,2
60, //upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/44px-Flag_of_Morocco.svg.png,Morocco,1,0,1,2
62, //upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/44px-Flag_of_Dominica.svg.png,Dominica,1,0,0,1
62, //upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/44px-Flag_of_Pakistan.svg.png,Pakistan,1,0,0,1
64, //upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/44px-Flag_of_Turkey.svg.png,Turkey,0,3,5,8
65, //upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/44px-Flag_of_Mexico.svg.png,Mexico,0,3,2,5
66, //upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/44px-Flag_of_Armenia.svg.png,Armenia,0,3,1,4
66, //upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/44px-Flag_of_Colombia.svg.png,Colombia,0,3,1,4
68, //upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/44px-Flag_of_Kyrgyzstan.svg.png,Kyrgyzstan,0,2,4,6
68, //upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/44px-Flag_of_North_Korea.svg.png,North Korea,0,2,4,6
70, //upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/44px-Flag_of_Lithuania.svg.png,Lithuania,0,2,2,4
71, //upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/44px-Flag_of_India.svg.png,India,0,1,5,6
72, //upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Moldova_%283-2%29.svg/44px-Flag_of_Moldova_%283-2%29.svg.png,Moldova,0,1,3,4
73, //upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flag_of_Kosovo.svg/44px-Flag_of_Kosovo.svg.png,Kosovo,0,1,1,2
74, //upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/44px-Flag_of_Cyprus.svg.png,Cyprus,0,1,0,1
74, //upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/44px-Flag_of_Fiji.svg.png,Fiji,0,1,0,1
74, //upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Jordan_%283-2%29.svg/44px-Flag_of_Jordan_%283-2%29.svg.png,Jordan,0,1,0,1
74, //upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/44px-Flag_of_Mongolia.svg.png,Mongolia,0,1,0,1
74, //upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/44px-Flag_of_Panama.svg.png,Panama,0,1,0,1
79, //upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/44px-Flag_of_Tajikistan.svg.png,Tajikistan,0,0,3,3
80, //upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/44px-Flag_of_Albania.svg.png,Albania,0,0,2,2
80, //upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/44px-Flag_of_Grenada.svg.png,Grenada,0,0,2,2
80, //upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/44px-Flag_of_Malaysia.svg.png,Malaysia,0,0,2,2
80, //upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Puerto_Rico.svg/44px-Flag_of_Puerto_Rico.svg.png,Puerto Rico,0,0,2,2
84, //upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/44px-Flag_of_Cape_Verde.svg.png,Cape Verde,0,0,1,1
84, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/44px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,Ivory Coast,0,0,1,1
84, //upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/44px-Flag_of_Peru.svg.png,Peru,0,0,1,1
84, //upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_Qatar_%283-2%29.svg/44px-Flag_of_Qatar_%283-2%29.svg.png,Qatar,0,0,1,1
84, //upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Olympic_flag.svg/44px-Olympic_flag.svg.png,Refugee Olympic Team,0,0,1,1
84, //upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/44px-Flag_of_Singapore.svg.png,Singapore,0,0,1,1
84, //upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/44px-Flag_of_Slovakia.svg.png,Slovakia,0,0,1,1
84, //upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Zambia.svg/44px-Flag_of_Zambia.svg.png,Zambia,0,0,1,1
