"id";"name";"country";"logo";"short_code";"detail_url"
74;"Georgia";"Georgia";"https://api.fifa.com/api/v1/picture/flags-sq-4/geo";"GEO";"https://www.fifa.com/associations/association/GEO"
75;"Germany";"Germany";"https://api.fifa.com/api/v1/picture/flags-sq-4/ger";"GER";"https://www.fifa.com/associations/association/GER"
76;"Ghana";"Ghana";"https://api.fifa.com/api/v1/picture/flags-sq-4/gha";"GHA";"https://www.fifa.com/associations/association/GHA"
77;"Gibraltar";"Gibraltar";"https://api.fifa.com/api/v1/picture/flags-sq-4/gib";"GIB";"https://www.fifa.com/associations/association/GIB"
78;"Greece";"Greece";"https://api.fifa.com/api/v1/picture/flags-sq-4/gre";"GRE";"https://www.fifa.com/associations/association/GRE"
79;"Grenada";"Grenada";"https://api.fifa.com/api/v1/picture/flags-sq-4/grn";"GRN";"https://www.fifa.com/associations/association/GRN"
80;"Guam";"Guam";"https://api.fifa.com/api/v1/picture/flags-sq-4/gum";"GUM";"https://www.fifa.com/associations/association/GUM"
81;"Guatemala";"Guatemala";"https://api.fifa.com/api/v1/picture/flags-sq-4/gua";"GUA";"https://www.fifa.com/associations/association/GUA"
82;"Guinea";"Guinea";"https://api.fifa.com/api/v1/picture/flags-sq-4/gui";"GUI";"https://www.fifa.com/associations/association/GUI"
83;"Guinea-Bissau";"Guinea-Bissau";"https://api.fifa.com/api/v1/picture/flags-sq-4/gnb";"GNB";"https://www.fifa.com/associations/association/GNB"
84;"Guyana";"Guyana";"https://api.fifa.com/api/v1/picture/flags-sq-4/guy";"GUY";"https://www.fifa.com/associations/association/GUY"
85;"Haiti";"Haiti";"https://api.fifa.com/api/v1/picture/flags-sq-4/hai";"HAI";"https://www.fifa.com/associations/association/HAI"
86;"Honduras";"Honduras";"https://api.fifa.com/api/v1/picture/flags-sq-4/hon";"HON";"https://www.fifa.com/associations/association/HON"
87;"Hong Kong";"Hong Kong";"https://api.fifa.com/api/v1/picture/flags-sq-4/hkg";"HKG";"https://www.fifa.com/associations/association/HKG"
88;"Hungary";"Hungary";"https://api.fifa.com/api/v1/picture/flags-sq-4/hun";"HUN";"https://www.fifa.com/associations/association/HUN"
89;"Iceland";"Iceland";"https://api.fifa.com/api/v1/picture/flags-sq-4/isl";"ISL";"https://www.fifa.com/associations/association/ISL"
90;"India";"India";"https://api.fifa.com/api/v1/picture/flags-sq-4/ind";"IND";"https://www.fifa.com/associations/association/IND"
91;"Indonesia";"Indonesia";"https://api.fifa.com/api/v1/picture/flags-sq-4/idn";"IDN";"https://www.fifa.com/associations/association/IDN"
92;"IR Iran";"IR Iran";"https://api.fifa.com/api/v1/picture/flags-sq-4/irn";"IRN";"https://www.fifa.com/associations/association/IRN"
93;"Iraq";"Iraq";"https://api.fifa.com/api/v1/picture/flags-sq-4/irq";"IRQ";"https://www.fifa.com/associations/association/IRQ"
94;"Israel";"Israel";"https://api.fifa.com/api/v1/picture/flags-sq-4/isr";"ISR";"https://www.fifa.com/associations/association/ISR"
95;"Italy";"Italy";"https://api.fifa.com/api/v1/picture/flags-sq-4/ita";"ITA";"https://www.fifa.com/associations/association/ITA"
96;"Jamaica";"Jamaica";"https://api.fifa.com/api/v1/picture/flags-sq-4/jam";"JAM";"https://www.fifa.com/associations/association/JAM"
97;"Japan";"Japan";"https://api.fifa.com/api/v1/picture/flags-sq-4/jpn";"JPN";"https://www.fifa.com/associations/association/JPN"
98;"Jordan";"Jordan";"https://api.fifa.com/api/v1/picture/flags-sq-4/jor";"JOR";"https://www.fifa.com/associations/association/JOR"
99;"Kazakhstan";"Kazakhstan";"https://api.fifa.com/api/v1/picture/flags-sq-4/kaz";"KAZ";"https://www.fifa.com/associations/association/KAZ"
100;"Kenya";"Kenya";"https://api.fifa.com/api/v1/picture/flags-sq-4/ken";"KEN";"https://www.fifa.com/associations/association/KEN"
101;"Korea DPR";"Korea DPR";"https://api.fifa.com/api/v1/picture/flags-sq-4/prk";"PRK";"https://www.fifa.com/associations/association/PRK"
102;"Korea Republic";"Korea Republic";"https://api.fifa.com/api/v1/picture/flags-sq-4/kor";"KOR";"https://www.fifa.com/associations/association/KOR"
103;"Kosovo";"Kosovo";"https://api.fifa.com/api/v1/picture/flags-sq-4/kvx";"KVX";"https://www.fifa.com/associations/association/KVX"
104;"Kuwait";"Kuwait";"https://api.fifa.com/api/v1/picture/flags-sq-4/kuw";"KUW";"https://www.fifa.com/associations/association/KUW"
105;"Kyrgyz Republic";"Kyrgyz Republic";"https://api.fifa.com/api/v1/picture/flags-sq-4/kgz";"KGZ";"https://www.fifa.com/associations/association/KGZ"
106;"Laos";"Laos";"https://api.fifa.com/api/v1/picture/flags-sq-4/lao";"LAO";"https://www.fifa.com/associations/association/LAO"
107;"Latvia";"Latvia";"https://api.fifa.com/api/v1/picture/flags-sq-4/lva";"LVA";"https://www.fifa.com/associations/association/LVA"
108;"Lebanon";"Lebanon";"https://api.fifa.com/api/v1/picture/flags-sq-4/lbn";"LBN";"https://www.fifa.com/associations/association/LBN"
109;"Lesotho";"Lesotho";"https://api.fifa.com/api/v1/picture/flags-sq-4/les";"LES";"https://www.fifa.com/associations/association/LES"
110;"Liberia";"Liberia";"https://api.fifa.com/api/v1/picture/flags-sq-4/lbr";"LBR";"https://www.fifa.com/associations/association/LBR"
111;"Libya";"Libya";"https://api.fifa.com/api/v1/picture/flags-sq-4/lby";"LBY";"https://www.fifa.com/associations/association/LBY"
112;"Liechtenstein";"Liechtenstein";"https://api.fifa.com/api/v1/picture/flags-sq-4/lie";"LIE";"https://www.fifa.com/associations/association/LIE"
113;"Lithuania";"Lithuania";"https://api.fifa.com/api/v1/picture/flags-sq-4/ltu";"LTU";"https://www.fifa.com/associations/association/LTU"
114;"Luxembourg";"Luxembourg";"https://api.fifa.com/api/v1/picture/flags-sq-4/lux";"LUX";"https://www.fifa.com/associations/association/LUX"
115;"Macau";"Macau";"https://api.fifa.com/api/v1/picture/flags-sq-4/mac";"MAC";"https://www.fifa.com/associations/association/MAC"
116;"Madagascar";"Madagascar";"https://api.fifa.com/api/v1/picture/flags-sq-4/mad";"MAD";"https://www.fifa.com/associations/association/MAD"
117;"Malawi";"Malawi";"https://api.fifa.com/api/v1/picture/flags-sq-4/mwi";"MWI";"https://www.fifa.com/associations/association/MWI"
118;"Malaysia";"Malaysia";"https://api.fifa.com/api/v1/picture/flags-sq-4/mas";"MAS";"https://www.fifa.com/associations/association/MAS"
119;"Maldives";"Maldives";"https://api.fifa.com/api/v1/picture/flags-sq-4/mdv";"MDV";"https://www.fifa.com/associations/association/MDV"
120;"Mali";"Mali";"https://api.fifa.com/api/v1/picture/flags-sq-4/mli";"MLI";"https://www.fifa.com/associations/association/MLI"
121;"Malta";"Malta";"https://api.fifa.com/api/v1/picture/flags-sq-4/mlt";"MLT";"https://www.fifa.com/associations/association/MLT"
122;"Mauritania";"Mauritania";"https://api.fifa.com/api/v1/picture/flags-sq-4/mtn";"MTN";"https://www.fifa.com/associations/association/MTN"
123;"Mauritius";"Mauritius";"https://api.fifa.com/api/v1/picture/flags-sq-4/mri";"MRI";"https://www.fifa.com/associations/association/MRI"
124;"Mexico";"Mexico";"https://api.fifa.com/api/v1/picture/flags-sq-4/mex";"MEX";"https://www.fifa.com/associations/association/MEX"
125;"Moldova";"Moldova";"https://api.fifa.com/api/v1/picture/flags-sq-4/mda";"MDA";"https://www.fifa.com/associations/association/MDA"
126;"Mongolia";"Mongolia";"https://api.fifa.com/api/v1/picture/flags-sq-4/mng";"MNG";"https://www.fifa.com/associations/association/MNG"
127;"Montenegro";"Montenegro";"https://api.fifa.com/api/v1/picture/flags-sq-4/mne";"MNE";"https://www.fifa.com/associations/association/MNE"
128;"Montserrat";"Montserrat";"https://api.fifa.com/api/v1/picture/flags-sq-4/msr";"MSR";"https://www.fifa.com/associations/association/MSR"
129;"Morocco";"Morocco";"https://api.fifa.com/api/v1/picture/flags-sq-4/mar";"MAR";"https://www.fifa.com/associations/association/MAR"
130;"Mozambique";"Mozambique";"https://api.fifa.com/api/v1/picture/flags-sq-4/moz";"MOZ";"https://www.fifa.com/associations/association/MOZ"
