partida,capitulo,area,nombre_partida,nombre_capitulo,nombre_area,count,sum,ano
26,02,010,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES X REGIÓN LOS LAGOS,1477,4753969576,2022
26,02,011,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES XI REGIÓN AYSÉN,1064,2124440609,2022
26,02,012,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES XII REGIÓN MAGALLANES,1389,3933537839,2022
26,02,013,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN REGIONAL DE DEPORTES REGIÓN METROPOLITANA,1509,4274995482,2022
26,02,014,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,ESTADIO NACIONAL,731,2451326088,2022
26,02,015,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,IND - NIVEL CENTRAL,4725,163849707986,2022
26,02,016,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,IND - CENTRO DE ALTO RENDIMIENTO,796,1240190658,2022
26,02,017,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN GENERAL DE DEPORTES XIV REGIÓN DE LOS RIOS,3595,2375026793,2022
26,02,018,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCIÓN GENERAL DE DEPORTES XV REGIÓN DE ÁRICA Y PARINACOTA,2765,1241494523,2022
26,02,019,MINISTERIO DEL DEPORTE,INSTITUTO NACIONAL DE DEPORTES,DIRECCION REGIONAL DE DEPORTES XVI REGION ÑUBLE,3256,1655939983,2022
