codigo_pais,logo_url,logo_url,logo_url,Pais,pais_id,region_id
CIV,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,https://api.fifa.com/api/v1/picture/flags-sq-4/civ,Côte d'Ivoire,b9e01f58-47ef-4109-b6ce-5aa67cd1f3f8,180c304e-079d-4845-95e1-c2a3976914c0
CMR,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,https://api.fifa.com/api/v1/picture/flags-sq-4/cmr,Cameroon,510da8df-cea7-4c58-8619-1c756ad9731c,180c304e-079d-4845-95e1-c2a3976914c0
COD,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,https://api.fifa.com/api/v1/picture/flags-sq-4/cod,Congo DR,ed4e4933-916b-4b04-9b6e-70082eb7cd6a,180c304e-079d-4845-95e1-c2a3976914c0
COK,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,https://api.fifa.com/api/v1/picture/flags-sq-4/cok,Cook Islands,67960f29-0503-4372-8bfe-cc610c2e9751,7ac257e8-e9b0-40a0-9371-5dc58e38ffba
COL,https://api.fifa.com/api/v1/picture/flags-sq-4/col,https://api.fifa.com/api/v1/picture/flags-sq-4/col,https://api.fifa.com/api/v1/picture/flags-sq-4/col,Colombia,e01d8346-63b0-495d-9e3b-5d27b00ef3c9,1c0979d8-d333-4b0a-a069-ee7fd86bb1b6
COM,https://api.fifa.com/api/v1/picture/flags-sq-4/com,https://api.fifa.com/api/v1/picture/flags-sq-4/com,https://api.fifa.com/api/v1/picture/flags-sq-4/com,Comoros,c23aa42e-53f7-4eef-811b-07eb8bc6b249,180c304e-079d-4845-95e1-c2a3976914c0
CPV,https://api.fifa.com/api/v1/picture/flags-sq-4/cpv,https://api.fifa.com/api/v1/picture/flags-sq-4/cpv,https://api.fifa.com/api/v1/picture/flags-sq-4/cpv,Cabo Verde,67455882-45e3-4325-bd23-fc3292468d31,180c304e-079d-4845-95e1-c2a3976914c0
CRC,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,Costa Rica,b44a0154-a130-468e-a6ba-32a9da990444,299297c1-0ff6-400f-a711-e0f9505e6d01
CRO,https://api.fifa.com/api/v1/picture/flags-sq-4/cro,https://api.fifa.com/api/v1/picture/flags-sq-4/cro,https://api.fifa.com/api/v1/picture/flags-sq-4/cro,Croatia,7e7b3239-1330-491f-8a25-dfb56b03c1c8,f5108bc2-6414-428d-afa8-7f6d4c02d153
CTA,https://api.fifa.com/api/v1/picture/flags-sq-4/cta,https://api.fifa.com/api/v1/picture/flags-sq-4/cta,https://api.fifa.com/api/v1/picture/flags-sq-4/cta,Central African Republic,1d3f5c28-63ad-411a-b891-de5d5b4b8426,180c304e-079d-4845-95e1-c2a3976914c0
CUB,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,https://api.fifa.com/api/v1/picture/flags-sq-4/cub,Cuba,c7561552-2664-4ed5-acec-2697bddaf4eb,299297c1-0ff6-400f-a711-e0f9505e6d01
CUW,https://api.fifa.com/api/v1/picture/flags-sq-4/cuw,https://api.fifa.com/api/v1/picture/flags-sq-4/cuw,https://api.fifa.com/api/v1/picture/flags-sq-4/cuw,Curaçao,86bdc828-e072-4ebb-917b-698147f76c7e,299297c1-0ff6-400f-a711-e0f9505e6d01
CYP,https://api.fifa.com/api/v1/picture/flags-sq-4/cyp,https://api.fifa.com/api/v1/picture/flags-sq-4/cyp,https://api.fifa.com/api/v1/picture/flags-sq-4/cyp,Cyprus,3eacebde-cf3b-4671-8b68-942bde052336,9aee3b2a-dac3-4398-a8f6-6a6cd2b88c74
CZE,https://api.fifa.com/api/v1/picture/flags-sq-4/cze,https://api.fifa.com/api/v1/picture/flags-sq-4/cze,https://api.fifa.com/api/v1/picture/flags-sq-4/cze,Czech Republic,8f8b9fb1-1e5e-4128-bf16-131d32d21754,f5108bc2-6414-428d-afa8-7f6d4c02d153
DEN,https://api.fifa.com/api/v1/picture/flags-sq-4/den,https://api.fifa.com/api/v1/picture/flags-sq-4/den,https://api.fifa.com/api/v1/picture/flags-sq-4/den,Denmark,bce5916f-dd76-457f-9f27-aeec9c72358c,f5108bc2-6414-428d-afa8-7f6d4c02d153
DJI,https://api.fifa.com/api/v1/picture/flags-sq-4/dji,https://api.fifa.com/api/v1/picture/flags-sq-4/dji,https://api.fifa.com/api/v1/picture/flags-sq-4/dji,Djibouti,020c0b84-6513-4e7d-8567-c4308e061500,180c304e-079d-4845-95e1-c2a3976914c0
DMA,https://api.fifa.com/api/v1/picture/flags-sq-4/dma,https://api.fifa.com/api/v1/picture/flags-sq-4/dma,https://api.fifa.com/api/v1/picture/flags-sq-4/dma,Dominica,9db931e1-d11e-41b7-84d9-aeef1d892ce3,299297c1-0ff6-400f-a711-e0f9505e6d01
DOM,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,https://api.fifa.com/api/v1/picture/flags-sq-4/dom,Dominican Republic,c2482f71-f937-4c03-8919-7a222577cf05,299297c1-0ff6-400f-a711-e0f9505e6d01
ECU,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu,Ecuador,67b3b25e-e76c-41f4-a3de-6e5db23e9703,1c0979d8-d333-4b0a-a069-ee7fd86bb1b6
EGY,https://api.fifa.com/api/v1/picture/flags-sq-4/egy,https://api.fifa.com/api/v1/picture/flags-sq-4/egy,https://api.fifa.com/api/v1/picture/flags-sq-4/egy,Egypt,7ee00bbb-a22f-41ea-b32e-3f755a781d5a,180c304e-079d-4845-95e1-c2a3976914c0
ENG,https://api.fifa.com/api/v1/picture/flags-sq-4/eng,https://api.fifa.com/api/v1/picture/flags-sq-4/eng,https://api.fifa.com/api/v1/picture/flags-sq-4/eng,England,4a06aec8-5061-44e1-9663-a26c1bcabd60,f5108bc2-6414-428d-afa8-7f6d4c02d153
EQG,https://api.fifa.com/api/v1/picture/flags-sq-4/eqg,https://api.fifa.com/api/v1/picture/flags-sq-4/eqg,https://api.fifa.com/api/v1/picture/flags-sq-4/eqg,Equatorial Guinea,f25e013c-ea58-40b0-b59d-24d4ed2ab3c6,180c304e-079d-4845-95e1-c2a3976914c0
